num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,num_feature_6,num_feature_7,num_feature_8,num_feature_9,num_feature_10,num_feature_11,num_feature_12,num_feature_13,num_feature_14,num_feature_15,num_feature_16,num_feature_17,num_feature_18,num_feature_19,num_feature_20,num_feature_21,num_feature_22,num_feature_23,num_feature_24,num_feature_25,num_feature_26,num_feature_27,num_feature_28,num_feature_29,num_feature_30,num_feature_31,num_feature_32,num_feature_33,num_feature_34,num_feature_35,num_feature_36,num_feature_37,num_feature_38,num_feature_39,num_feature_40,num_feature_41,num_feature_42,num_feature_43,num_feature_44,num_feature_45,num_feature_46,num_feature_47,num_feature_48,num_feature_49,num_feature_50,num_feature_51,num_feature_52,num_feature_53,num_feature_54,num_feature_55,num_feature_56,num_feature_57,num_feature_58,num_feature_59,num_feature_60,num_feature_61,num_feature_62,num_feature_63,num_feature_64,num_feature_65,num_feature_66,num_feature_67,num_feature_68,num_feature_69,num_feature_70,cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cat_feature_11,cat_feature_12,cat_feature_13,cat_feature_14,cat_feature_15,cat_feature_16,cat_feature_17,cat_feature_18,cat_feature_19,cat_feature_20,cat_feature_21,cat_feature_22,cat_feature_23,cat_feature_24,cat_feature_25,cat_feature_26,cat_feature_27,cat_feature_28,cat_feature_29,cat_feature_30
57.450712295168486,63.892663212974625,70.99033154879004,61.675416142499564,39.87232587538428,58.55919495829296,21.382886631839135,67.70961368678218,37.04759592552599,35.618323157198375,43.643604769659454,60.54713813330006,33.28877962650368,68.40910733121893,61.77777623465565,75.88540689222157,49.504621044206594,87.58173358035341,61.481032340200244,45.98351721912733,39.82257904269167,73.11981717201981,32.32730468998585,58.30441114037348,67.62221086378537,57.6610332441091,,56.4626900775462,46.63638566677721,67.59341417947218,47.848651753116066,48.70180758979096,63.189609390634644,36.431131794303894,44.90268247537554,68.61448398107798,54.82752785034155,49.18473088399696,53.97660641768365,54.989311771715585,55.224293715002275,33.51127163650228,87.66698821535013,65.58134434421754,29.635513325766397,53.920486131703605,82.98255557391926,50.310630255281055,39.929397208101726,50.85236093223959,52.56310293120473,51.99731792257423,47.879851917879435,19.10968580337235,38.24359745944746,39.526848764944575,76.4838904073825,42.88285743884286,58.92197294391606,53.243021127919825,20.2914204865939,45.489374332189996,30.20775439789865,41.74047627268115,60.98021408360285,64.34373725300959,42.20982390260624,42.116429728197105,82.55382294464488,28.7482002932628,yes,,low,commerce,F,female,D,low,no,medium,female,no,A,B,medium,male,male,no,no,medium,A,,male,commerce,commerce,,female,male,yes,high
47.92603548243223,78.64124960705196,63.869505243691535,41.732214255071995,47.83221993926723,64.52276990799291,37.09422483830747,40.59029831073046,49.53194766591374,29.712369658389164,43.19878837424219,57.99810976848969,40.53603749393315,31.847592455286723,23.33478556444698,51.82766696198681,42.445246094366055,43.2253836623458,,,45.41750805419521,70.00997278815387,56.49275603779961,56.30464726227807,21.81528582869259,34.73075830797274,57.91157977789995,53.548132904222946,46.837479220181294,50.25603237799589,49.51016144389535,66.36468541429198,50.58963798115198,63.99243056138297,52.732023065167645,54.797345939210985,,36.24457956888814,,51.5260580875989,54.249853888035,60.88237358394522,49.70102657514133,,48.098161225010884,66.16809614847203,55.15033022579455,33.969095686905106,39.293008007919525,52.49879748733789,50.183831459473126,76.04485713274833,32.262199666585516,48.833305534856514,67.46051595872459,71.98589619484153,60.20825806728623,45.92144449526613,58.30234495336733,48.4997861541964,34.17521529594692,70.33742705879908,63.73944212903161,34.789626587624966,25.82651566493734,57.125850968756,60.54801582026554,60.55134769350891,47.285386032527725,31.008464995233133,yes,yes,high,arts,A,male,D,high,yes,medium,male,yes,F,C,medium,male,female,no,yes,high,,no,male,,science,A,female,male,no,low
59.715328071510385,29.02148639271288,50.89445554880261,37.72701674866539,38.11370118500058,45.030374252250155,43.79591699867534,50.678340634999735,50.2702530806667,26.2461741531863,23.065352410549774,52.481054904495565,,56.57868936381508,60.721184748334174,61.30126210131639,47.41437563819507,78.42722918163454,57.48034868203317,52.633611273887325,,61.66602570871782,66.66129758621963,58.87701786717523,45.083074161838056,38.623041156037026,25.834958481722488,61.50594034234553,83.53141152135441,61.9502624013743,50.964423178813725,74.94165933769204,36.31511728900463,,70.3965783999247,73.08270935704016,60.37034571620788,26.59637033669424,44.92719924526297,24.788305626340225,35.952202312917635,63.22727420300997,45.3114941296801,54.34650716534803,67.3065280863285,59.54897566263,46.496154015830015,47.916242945376155,71.38108898559398,59.384343430244115,43.53267400373953,59.30077801458626,48.20441400438951,17.433134336653275,61.74316329783158,49.39112245607153,60.11448869055656,55.33515867687133,100.31860083749567,30.164521159173763,41.19457390561121,53.10866992701316,,55.50692478580044,,30.005356467265567,44.34627475273151,19.76343198263545,28.273737878367324,55.924570423645996,no,no,low,arts,F,female,B,low,no,low,male,no,B,A,medium,female,male,no,yes,medium,D,yes,male,science,commerce,C,female,female,no,
,58.444538550358565,40.295948334416394,49.94938313883572,45.38057705541439,40.81644898238375,,50.76796852821628,57.08945518765108,56.19498368206696,45.04864712447844,29.269736469613434,41.78006271888293,29.44960058953356,46.49413913222412,51.497394726496516,60.720975912765496,46.0525809191026,20.86253463557345,,51.65627070419179,51.12028763955328,61.32777460705915,68.88925567154253,49.37509964927998,35.308763926772684,36.2015274433077,58.069755082264116,62.13966355896951,60.77093065755804,64.2029219246927,69.51645040198433,43.06251270200046,35.88596071035672,49.32936864860622,63.66893424556736,41.14457462292004,77.81993200789377,41.35962244284998,61.21415367908075,58.69376332645607,50.396433593007394,42.16460111218828,37.89616871285326,51.02977185611425,58.62120393688258,64.65474211492935,44.773912557433775,77.96620495789996,38.655773734063345,49.96210008728319,63.83763194907232,52.21993414310042,51.4826526258426,49.680907255533576,69.3861035136733,36.53859987576973,48.37271657241276,33.84303769652171,42.430998175268364,52.24503366387037,42.7170503530443,65.21762045491663,42.684079714411084,29.47928061173429,35.324481865168494,45.08975059516106,,42.44159464352723,,no,yes,high,arts,A,female,B,low,no,high,male,no,B,C,high,female,female,yes,no,medium,A,no,female,science,science,B,male,female,yes,medium
46.48769937914996,40.2403614631726,60.47334970420385,47.447230662126074,21.595779995693213,33.72274210163303,58.34829686800637,42.47323710782702,29.497124550787603,46.788984534082076,60.99243622732617,42.74574290666845,,65.98064408389405,60.61186566296571,39.989999281752795,69.16784982545771,29.413853936580395,47.668663512083604,77.72060287656275,67.95767797192869,50.337505823681596,66.26716287285932,77.94303682100265,50.23862987599447,47.9224846709007,47.77732199752656,60.767693434944,87.20976376268214,58.085622451291385,38.79174037269885,34.00455386922771,55.14280198672472,57.98174201279573,36.70831022978525,42.14821355248315,61.243325561676926,66.9694857537462,78.75889301756108,32.84493047691413,27.64875986635073,31.587136360424132,55.64550555798663,49.309867569310825,64.08633415446695,53.02238484699912,62.63103290566852,66.0906311115116,36.066763123847515,88.80873703106731,57.36262438239416,52.86184905030182,57.78251817921486,62.8110537606793,52.16506005874555,44.30320107984985,76.5359307972929,62.159101641437026,40.61022809744845,74.05947571803539,65.36243489910318,64.07857309768377,50.15289372959489,50.45485807774958,52.839515912713956,59.861849400337455,40.34767319526781,30.325011471981657,62.70589882072485,47.96959939051885,yes,yes,low,arts,A,,A,low,yes,high,male,yes,A,,low,female,male,no,yes,,C,yes,female,science,,B,female,male,yes,
46.487945645762295,42.69311924352956,55.90228078132624,,53.19940561059408,37.61884205031567,29.96777646350163,29.413016781738488,58.88850910770996,55.69108096407665,30.886518213848074,62.626711621760194,62.557317294970765,46.129317265832576,61.65397538532243,,58.5573099629536,45.415513363898064,32.66438637624627,64.86066269936128,38.43436764288193,61.4569965854489,46.82165703202636,51.869950901113356,52.70744084117122,67.55288501105842,36.70002447973438,70.26490858591274,42.54555300619248,45.16982044073893,37.3047951273101,48.99561664527131,77.2769656757239,68.23810343298472,25.704652017250602,69.39722112531908,45.88832786928918,,71.95851179261484,43.7298630704987,,50.65706834910822,55.798738837563945,59.16936720857366,41.118288179974954,69.30198279088852,12.217535676227236,55.689880460459214,39.96508351340444,69.97820456413031,48.10756806531741,25.76616952297884,51.15737038447506,54.191233019054486,49.87402973998485,59.09127774320497,70.65077141903433,56.4554729425177,62.23883428748831,,60.41203915057647,45.22696313258836,41.61863905329364,54.759124103961355,30.149835018136606,19.944738324547746,37.56588888795728,33.99117463895664,38.41032214804538,70.5690709445483,yes,,low,commerce,D,male,F,medium,no,high,male,no,C,F,low,female,,no,yes,,B,no,female,commerce,commerce,A,male,female,yes,low
73.68819223261087,41.11409113641696,63.42789830041598,60.44581171185073,50.01808213043336,,57.29054434126456,54.84461755426502,9.434125525958372,60.35709029182269,65.72723976575888,34.23169955326246,45.18261441941446,69.02874853471204,74.11872591678735,53.081835305544544,51.52584812707655,65.72305951512914,46.96091340622889,48.18468453485654,65.01230746652621,44.12494085743951,43.00071547736532,66.4919565709348,59.1565972971424,49.92438694664707,37.76612343171275,63.25436823456458,48.72550104667779,52.580883835493886,68.54929613214463,54.16287026714443,42.739705652055825,57.320202295640144,57.69571801115376,53.95799031354418,,52.336278617469205,58.329412850204235,64.39363838577702,20.013682806532884,68.85852441011417,64.25941809689769,53.518550299048,37.85124714816227,45.25585185213624,49.958966658633294,45.83004317382208,67.13784229256217,,56.29651445345411,22.791762942957334,36.785758850036665,64.07164038455898,57.305138887603086,39.117870246216484,37.346149656566496,44.355433647289566,46.99604211197205,50.42522311188256,32.31012802328772,42.53003666159498,74.00602633172186,68.62861295982087,20.284292343901683,55.08055789910556,55.31266030844315,56.13281278432519,27.768086008175292,49.23037813387054,yes,,low,science,A,male,F,medium,no,medium,female,yes,C,F,low,,male,no,yes,medium,D,no,female,science,arts,F,female,female,yes,low
61.51152093729363,37.04013845480276,59.52757702522954,64.32957812855766,37.74367053397714,68.67019371105181,26.79044016592452,49.08494042216925,40.551731714542846,53.984254897588,57.316622316265075,12.023460256237797,26.21561439845611,57.3711913453329,70.30180471431805,38.36590093096413,72.47017655456642,37.42735276502703,64.70006354200841,60.90756889300924,38.274918914796686,21.762188727988043,38.946479716523015,44.725097242486775,,43.351719613584564,44.75206005385344,47.59270669507156,30.01811352085029,41.17457653539833,43.06032887178053,46.10483054738707,62.07181165291099,50.31206035658816,53.70932188441609,44.07980437009245,35.26375639278594,48.499305333445,69.87963495901607,65.44637246463549,73.37939775444222,76.14299705077642,36.109067534764804,59.01624107161646,62.73310745427571,45.64545096897214,44.08100799891329,75.85827314634149,58.002799897135944,33.638929134149784,37.44996832365429,81.24214985312773,80.1804504135777,79.47240412489872,38.00747512316458,38.097903963520984,42.87855137277685,22.15045532519835,43.05423564902376,69.68184813763494,44.424316067515214,55.90438121962784,48.967175107726504,61.79855965084999,46.43783995184638,30.032348039215684,57.25559441966938,58.09912745531994,38.722734705678945,38.33280817758794,no,yes,high,commerce,C,male,F,high,no,medium,female,yes,A,C,low,male,female,no,,medium,D,no,female,science,science,D,female,male,no,high
42.95788421097572,50.72782441917241,65.74329072979003,51.32610329437771,59.88868502648607,29.73388450687968,66.2403658083061,57.50360704154855,42.67589236322683,59.86644764225561,38.98650017043443,46.59340988328611,67.10101769742741,31.65169654907105,,37.994968907520445,45.30745290422717,40.9949201149027,54.577262538124586,43.9444484900314,37.28559181254674,57.380060811544396,49.16155300079607,67.77510475374524,44.47912576784479,,,33.15648265884751,37.85649796865641,50.19221456849743,31.054469696344007,55.81786315123394,45.0791532398486,54.652307391522605,40.31137740106555,54.17578542981324,43.54377936969073,45.89011290255435,61.97692008466824,43.00238708974824,46.526757590820566,45.24938101511128,45.31257682788108,65.18368861479358,55.538983019842846,,55.95058537270875,45.96638485677486,60.14642157981383,48.681437572929624,40.94159523281443,42.02266587153168,62.43690157432397,47.84692344106987,62.937571000529644,22.68724791623158,68.81984067390032,72.4854740822299,64.36267232484748,60.44435822683574,51.1456338305385,74.19457084909207,44.572815601160315,39.78485490839044,16.86381421268831,36.97952333735581,53.40722656326924,,41.99951123376029,51.881145090700784,no,no,low,arts,D,,F,low,no,high,female,yes,F,D,high,female,male,yes,yes,high,C,yes,female,science,arts,A,female,male,,medium
58.13840065378947,37.535748253834434,41.97147182659148,72.16295121582893,64.06355206439838,30.163130648846447,42.93313022273182,41.99599540341249,59.499902391068574,48.95701570636596,47.87705543993229,47.873636689586924,37.443647995774406,71.36941598115865,71.65505478749358,42.51519116031332,65.46379007550361,58.90309148439786,67.2213629959615,62.43723552589313,62.2789192751482,33.03397055097543,48.82113806046771,65.92263735763765,43.88615983010457,58.281868770947646,44.859233346827835,75.01696899506773,78.5286972299375,32.472636618511,42.72305086850195,62.30865217503421,51.657031338292036,52.0464037710092,65.39021188560946,66.68490236585394,70.52283535622867,43.86473228277591,,43.86626697620021,82.50326052224467,25.101982246133147,,40.27330019942118,32.21605988338311,65.84246065715054,47.09512579559315,58.36680085829245,63.44901942279586,52.73387665373063,38.985192450890366,40.748729837721015,58.290796169748,92.11476174918322,55.30348756836219,55.03630990776912,76.94221067475137,39.708765658335174,46.00147345544419,47.78190278330356,46.06689313330251,62.803278623597336,63.636768913970144,32.82466643363665,53.88107292081435,28.83398588498606,40.75724591669838,,33.75995678053015,48.96990718897512,no,no,medium,science,C,female,A,low,yes,high,,yes,F,C,medium,female,female,no,yes,low,C,yes,male,commerce,arts,A,female,,no,high
